"","modelIdx","stdMake","stdModel","cp","amo","Segment","Subsegment","var","highprice","meanprice","lowprice"
"134",168,"Greatwall","Haval H5","GreatwallHaval H5",8281,"SUV","Compact SUV",329,1.708,1.24879027355623,0.928
"135",201,"Chery","Chery E3","CheryChery E3",4624,"Passenger Car","Compact",36,0.679,0.594,0.529
"136",203,"Chery","Chery Eastar","CheryChery Eastar",1,"Passenger Car","Midsize Basic",218,2.018,1.16101485148515,0.818
"137",207,"Chery","Riich G6","CheryRiich G6",1,"Passenger Car","Midsize",17,5,2.49823529411765,1.898
"138",220,"Chevrolet","Chevrolet Corvette","ChevroletChevrolet Corvette",8,"Sports Car","Large Sports",31,18,17.5258064516129,15.6
"139",279,"Dongfeng","Fengshen H30 Cross","DongfengFengshen H30 Cross",22,"Passenger Car","Midsize Basic",116,0.918,0.815155172413793,0.658
"140",280,"Dongfeng","Fengshen S30","DongfengFengshen S30",464,"Passenger Car","Midsize Basic",141,0.998,0.789702127659574,0.598
"141",290,"Dongfeng Honda","Honda Spirior","Dongfeng HondaHonda Spirior",10110,"Passenger Car","Midsize Upper",110,2.718,2.31969090909091,1.798
"142",293,"Dongfeng Nissan","Nissan Geniss","Dongfeng NissanNissan Geniss",1,"MPV","Compact MPV",64,1.623,1.525890625,1.388
"143",299,"Dongfeng Nissan","Nissan Sylphy","Dongfeng NissanNissan Sylphy",186406,"Passenger Car","Midsize",302,2.148,1.45596026490066,0.998
"144",311,"Dongfeng Peugeot","Peugeot 301","Dongfeng PeugeotPeugeot 301",22064,"Passenger Car","Midsize Basic",57,1.197,0.996473684210526,0.847
"145",322,"Dongfeng Yueda Kia","Kia K5","Dongfeng Yueda KiaKia K5",16713,"Passenger Car","Midsize Upper",137,2.518,1.97557037037037,1.598
"146",350,"FAW Audi","Audi Q5","FAW AudiAudi Q5",64929,"Luxury SUV","Midsize Luxury SUV",109,5.717,4.67165137614679,3.585
"147",351,"FAW Car","Besturn B50","FAW CarBesturn B50",9963,"Passenger Car","Midsize",121,1.258,1.03163636363636,0.698
"148",353,"FAW Car","Besturn B90","FAW CarBesturn B90",118,"Passenger Car","Midsize Upper",80,2.018,1.68625,1.398
"149",385,"FAW Toyota","Toyota RAV4","FAW ToyotaToyota RAV4",72599,"SUV","Midsize SUV",176,2.728,2.22959090909091,1.798
"150",386,"FAW Toyota","Toyota Reiz","FAW ToyotaToyota Reiz",5768,"Passenger Car","Midsize Upper",155,3.568,2.62492903225806,2.098
"151",389,"FAW Mazda","Mazda 6 Ruiyi","FAW MazdaMazda 6 Ruiyi",3,"Passenger Car","Midsize Upper",102,2.498,2.00839215686275,1.648
"152",394,"FAW Volkswagen","Volkswagen Golf","FAW VolkswagenVolkswagen Golf",77383,"Passenger Car","Midsize",357,2.399,1.47668347338936,1.16
"153",403,"Ferrari Maserati","Ferrari California","Ferrari MaseratiFerrari California",24,"Sports Car","Large Sports",14,35.28,33.8228571428571,30.88
"154",406,"Fiat","Fiat 500","FiatFiat 500",14,"Passenger Car","Compact Mini",26,5.2,2.68492307692308,1.478
"155",425,"Ford","Ford Mustang","FordFord Mustang",4318,"Sports Car","Midsize Sports",130,13.88,7.7235873015873,3.998
