"","modelIdx","stdMake","stdModel","cp","numb","Segment","Subsegment","highprice","meanprice","lowprice","type","typedif","typeper","oil","level"
"72",1207,"Kawei","Kawei K1","KaweiKawei K1",3,"Truck","Pickup Truck",2.278,1.06517948717949,0.798,"SUV",2,0.641025641025641,9.903125,"紧凑型车"
"73",1219,"FAW Audi","Audi A3","FAW AudiAudi A3",39607,"Luxury Car","Compact Luxury",2.967,2.36144094488189,1.849,"轿车",1,1,5.62992125984252,"紧凑型车"
"74",1240,"BAIC Yinxiang","BAIC Huansu S5","BAIC YinxiangBAIC Huansu S5",5550,"SUV","Compact SUV",0.858,0.733,0.598,"SUV",1,1,6.725,"紧凑型车"
"75",1259,"Dongfeng","Dongfeng Brave Warrior","DongfengDongfeng Brave Warrior",1,"SUV","Midsize SUV",8,8,8,"越野车",1,1,NA,"中型车"
"76",1261,"Dongfeng Yueda Kia","Kia K3S","Dongfeng Yueda KiaKia K3S",13,"Passenger Car","Midsize",1.438,1.21466666666667,1.018,"轿车",1,1,6.63846153846154,"紧凑型车"
"77",1305,"Morgan","Morgan Plus 8","MorganMorgan Plus 8",1,"Sports Car","Midsize Sports",NA,NA,NA,NA,NA,NA,NA,NA
"78",1363,"Audi","Audi S3","AudiAudi S3",756,"Luxury Car","Compact Luxury",3.998,3.784,3.57,"轿车",1,1,9.54166666666667,"紧凑型车"
"79",1538,"Dongfeng","Fengshen AX7","DongfengFengshen AX7",23028,"SUV","Compact SUV",1.497,1.26385714285714,0.997,"SUV",1,1,8.43142857142857,"紧凑型车"
"80",1570,"TechArt","TechArt T7","TechArtTechArt T7",20,"Luxury SUV","Large Luxury SUV",NA,NA,NA,NA,NA,NA,NA,NA
"81",1572,"Tianjin FAW","Tianjin FAW Junpai D60","Tianjin FAWTianjin FAW Junpai D60",5320,"SUV","Compact SUV",0.999,0.764454545454545,0.569,"SUV",1,1,6.62386363636364,"小型车"
"82",1581,"Dongfeng Yulon","Yulon Luxgen Luxury 7 SUV","Dongfeng YulonYulon Luxgen Luxury 7 SUV",135,"SUV","Large SUV",2.798,2.33079104477612,1.798,"SUV",1,1,10.980303030303,"中型车"
"83",1741,"Chery","Chery Tiggo 3","CheryChery Tiggo 3",26321,"SUV","Compact SUV",0.989,0.838761904761905,0.689,"SUV",1,1,7.28571428571429,"小型车"
"84",1761,"Lifan","Lifan X50","LifanLifan X50",156,"Passenger Car","Compact",0.828,0.714666666666667,0.598,"SUV",1,1,6.4,"小型车"
"85",1762,"Morgan","Morgan Plus 4","MorganMorgan Plus 4",1,"Sports Car","Midsize Sports",NA,NA,NA,NA,NA,NA,NA,NA
"86",1773,"Changan Suzuki","Suzuki Alivio","Changan SuzukiSuzuki Alivio",11182,"Passenger Car","Compact",1.219,1.039,0.879,"轿车",1,1,5.52,"紧凑型车"
"87",1786,"Shanghai Volkswagen","Volkswagen Lamando","Shanghai VolkswagenVolkswagen Lamando",58809,"Passenger Car","Compact",2.289,1.83128571428571,1.459,"轿车",1,1,6.01142857142857,"紧凑型车"
